numeroConta;codigoAgencia;dataTransacao;codigoTransacao;valor
2;100;1588032000;3;988.37
3;200;1587686400;2;413.51
3;300;1604188800;1;957.05
2;300;1604707200;2;111.1
3;300;1584489600;3;134.9
3;100;1614038400;0;919.48
10;100;1594598400;1;125.15
7;300;1649894400;0;303.36
8;200;1580601600;2;211.59
2;100;1615161600;0;768.02
9;200;1618358400;1;493.32
8;300;1653609600;0;450.56
3;300;1656633600;1;38.85
5;100;1603065600;0;189.63
7;200;1608854400;1;243.84
8;300;1645142400;3;265.39
4;300;1646524800;1;289.76
3;100;1635724800;3;903.37
3;300;1642291200;1;296.93
1;300;1615852800;2;692.09
8;100;1584662400;0;58.6
9;300;1660003200;2;590.21
4;200;1656979200;0;495.34
8;300;1656979200;3;136.16
7;100;1662854400;1;494.0
3;100;1624579200;0;830.85
8;200;1654992000;1;688.7
10;300;1614038400;0;278.04
2;100;1661817600;1;358.81
6;100;1617321600;3;560.36
10;300;1645660800;0;343.96
0;300;1607385600;3;484.21
8;200;1657843200;2;237.41
10;300;1597363200;0;532.14
8;100;1605052800;0;199.95
1;300;1619136000;3;574.53
7;200;1583625600;0;235.65
10;100;1591488000;3;143.63
1;300;1586476800;0;744.33
6;200;1618444800;2;537.53
2;300;1593302400;1;962.78
9;100;1601856000;0;249.34
0;300;1594512000;1;374.7
5;300;1604016000;0;213.42
9;200;1633564800;2;843.09
4;300;1626825600;0;361.92
10;200;1583971200;2;227.01
9;100;1583625600;1;878.26
0;300;1653782400;3;457.66
6;300;1663372800;2;417.44
4;200;1591401600;2;836.56
4;100;1650412800;0;682.38
3;100;1658448000;2;466.27
9;300;1611100800;2;964.14
4;300;1649808000;2;229.02
5;300;1664064000;0;716.48
4;200;1643500800;0;298.02
10;100;1606089600;2;130.78
1;300;1597449600;0;652.85
4;100;1583107200;2;821.46
1;200;1663718400;3;67.64
7;100;1637625600;0;138.02
8;100;1651276800;3;88.88
5;300;1597622400;1;695.35
4;200;1653436800;1;287.29
7;100;1632787200;3;25.66
3;200;1615075200;0;890.7
5;100;1618617600;2;897.3
4;300;1590278400;1;85.51
4;300;1600041600;1;289.71
0;200;1580083200;3;845.12
1;100;1641340800;1;330.68
0;300;1599955200;3;207.05
8;100;1640304000;1;762.39
6;300;1626393600;3;865.72
10;300;1654300800;3;795.98
4;100;1586995200;1;757.97
3;200;1581033600;1;236.84
5;100;1653523200;0;240.4
1;300;1611360000;2;568.46
7;300;1627776000;0;56.22
3;100;1637625600;2;627.91
8;300;1626739200;2;922.04
5;100;1653091200;3;967.4
10;300;1580169600;1;219.2
8;100;1596844800;0;938.15
10;300;1583193600;3;910.66
3;300;1599523200;3;565.23
7;100;1659312000;1;834.02
7;300;1641600000;2;684.58
1;200;1651536000;0;962.48
8;200;1578700800;1;817.67
0;200;1624665600;2;381.43
4;300;1633996800;2;79.07
3;300;1650412800;2;674.99
1;200;1585440000;1;679.56
9;100;1600473600;0;723.74
5;200;1585872000;1;996.55
1;300;1584576000;2;546.07
5;100;1649808000;3;962.57
6;100;1628726400;2;149.37
8;300;1660608000;0;54.65
4;300;1583280000;1;882.64
2;100;1603065600;1;208.23
6;200;1593475200;1;576.72
0;200;1587600000;0;870.82
5;300;1620777600;2;316.73
1;100;1634774400;1;187.75
3;300;1651968000;0;21.36
1;300;1591401600;3;220.46
2;300;1579219200;1;723.89
10;100;1628035200;0;881.19
5;300;1616976000;0;504.6
8;100;1628726400;1;478.39
6;300;1654732800;0;865.68
6;200;1630108800;3;661.68
1;200;1614729600;2;579.75
9;300;1625184000;0;749.07
5;300;1614297600;3;953.48
8;200;1650931200;2;963.76
7;200;1658188800;3;745.88
6;200;1643068800;2;149.84
3;300;1620172800;0;281.67
2;300;1620864000;3;65.57
10;200;1662681600;1;371.38
1;300;1593216000;1;39.07
2;100;1618099200;1;960.65
3;200;1598140800;1;835.99
7;100;1644710400;1;849.85
6;300;1590883200;1;657.75
7;200;1623024000;2;646.79
5;300;1612310400;2;232.02
6;300;1638835200;0;279.17
6;100;1639872000;3;177.68
5;300;1663027200;0;723.55
4;100;1660608000;3;967.44
3;300;1632355200;3;18.63
2;100;1628985600;3;706.63
7;300;1579219200;1;912.08
6;100;1649894400;3;167.64
4;300;1656979200;0;218.22
7;100;1638835200;2;31.09
5;300;1580601600;2;119.05
5;300;1625702400;3;879.69
1;100;1651622400;3;495.55
5;300;1630627200;0;948.2
7;300;1612656000;3;431.52
4;200;1634688000;1;160.63
3;200;1628553600;2;319.17
1;300;1618099200;3;610.53
10;300;1596758400;1;256.28
3;200;1655164800;2;927.93
10;300;1662508800;2;673.71
0;300;1581379200;2;294.83
0;100;1655424000;2;217.7
5;100;1620345600;3;714.84
2;300;1634774400;1;978.21
1;100;1615852800;1;695.77
10;300;1658275200;3;438.38
6;200;1629417600;1;678.85
9;200;1661817600;3;176.67
5;300;1587254400;1;105.24
9;300;1651363200;3;308.99
0;300;1637798400;3;50.32
10;200;1602288000;3;389.47
7;100;1640304000;2;728.18
1;300;1630022400;3;214.99
3;100;1610496000;1;603.68
4;200;1630972800;2;497.22
5;100;1623456000;3;284.59
0;200;1649289600;3;560.42
1;200;1627689600;0;171.85
3;100;1639267200;3;617.38
10;200;1641168000;0;122.29
8;200;1646265600;2;642.33
3;300;1658016000;2;219.22
0;100;1632614400;2;602.79
3;300;1603843200;3;508.69
9;200;1597363200;3;310.09
7;200;1648512000;2;395.19
6;300;1623024000;1;789.74
4;100;1608940800;2;209.98
7;200;1651622400;3;844.24
7;200;1655424000;0;174.96
3;300;1599004800;1;941.65
2;200;1661126400;2;843.36
7;100;1622851200;1;165.62
9;200;1643932800;3;292.43
2;200;1660867200;1;36.9
9;100;1612224000;1;456.22
3;100;1641513600;3;304.32
0;100;1585699200;3;300.65
0;300;1637884800;2;796.97
7;300;1632528000;3;812.56
6;300;1647907200;2;119.45
4;100;1620000000;0;248.63
2;300;1628640000;3;659.43
3;300;1595030400;3;284.99
9;200;1580428800;2;905.57
6;200;1590537600;2;17.93
8;100;1620172800;0;268.1
3;200;1603324800;3;799.75
5;200;1600992000;2;138.07
7;200;1609372800;2;69.7
10;200;1590537600;2;694.8
6;100;1580947200;1;149.6
10;100;1641427200;2;409.62
6;200;1620000000;2;637.44
6;200;1638144000;1;309.15
4;200;1612310400;2;380.86
4;300;1639699200;3;476.59
2;300;1631318400;1;585.91
0;200;1649289600;2;969.15
6;100;1607990400;0;361.53
2;200;1619740800;3;546.75
2;300;1632441600;3;695.06
7;300;1590105600;2;990.41
1;200;1656547200;1;807.41
8;100;1661558400;2;344.66
0;100;1612137600;0;405.85
5;100;1635897600;1;181.76
8;100;1651017600;1;919.05
3;100;1587772800;2;909.61
4;100;1618704000;0;14.11
5;300;1637539200;0;830.85
3;300;1651968000;0;1.14
10;200;1648252800;0;93.99
4;300;1604534400;0;665.71
3;100;1595376000;1;156.84
6;100;1586563200;0;562.06
0;200;1608163200;3;819.97
7;100;1598227200;2;249.48
0;100;1659916800;0;513.73
2;200;1631750400;3;305.05
9;300;1588723200;2;311.01
8;300;1586044800;2;896.48
2;100;1595462400;0;317.34
8;300;1606176000;1;251.21
8;300;1659916800;2;839.53
6;300;1589760000;3;107.34
2;300;1657670400;0;448.63
10;100;1610841600;2;278.86
5;300;1648339200;1;169.1
5;300;1643155200;0;602.03
5;300;1610668800;2;318.59
6;100;1624665600;2;152.47
7;200;1623283200;1;673.78
3;300;1658534400;0;258.47
4;100;1658102400;0;574.36
0;300;1582588800;3;842.77
2;100;1586390400;2;991.77
7;300;1609891200;2;408.22
1;200;1650153600;0;286.82
9;100;1651708800;3;500.59
2;200;1601078400;0;912.01
0;300;1595289600;0;996.27
10;200;1646006400;0;745.8
0;300;1599696000;2;406.88
2;300;1625529600;3;588.86
4;200;1600819200;0;333.94
5;100;1635465600;3;7.87
9;100;1619395200;2;667.64
3;300;1650931200;0;172.12
1;300;1589587200;2;44.52
0;300;1627862400;2;185.41
3;300;1629849600;2;734.95
1;300;1615766400;3;479.55
5;300;1651449600;2;815.53
1;300;1618099200;1;577.83
5;300;1652659200;0;144.62
4;300;1630454400;1;838.95
10;100;1649376000;2;964.08
5;100;1595894400;2;775.51
7;100;1610668800;3;104.42
7;300;1626393600;1;865.14
1;300;1590624000;0;310.25
8;300;1623456000;0;703.43
6;200;1657324800;3;706.69
6;300;1630540800;0;443.85
8;200;1650412800;1;301.19
10;100;1643328000;0;894.67
4;300;1591920000;1;318.42
4;100;1652313600;0;967.52
4;300;1594252800;3;382.92
8;300;1650240000;0;278.88
6;300;1618099200;0;708.62
7;200;1610928000;2;899.06
0;100;1658361600;1;981.56
8;300;1611100800;3;124.75
0;300;1609977600;0;632.4
3;100;1639008000;3;517.56
2;300;1612051200;2;86.52
2;300;1600473600;1;703.04
3;200;1654560000;0;886.92
5;200;1649116800;3;365.16
0;200;1615852800;1;881.82
6;200;1645574400;0;569.41
3;300;1578355200;2;614.41
9;300;1650153600;2;465.68
9;100;1610236800;1;168.98
9;100;1631577600;3;826.96
6;300;1646179200;3;883.29
5;200;1658102400;0;191.05
4;100;1591660800;2;979.63
0;100;1640476800;2;594.88
9;300;1595289600;1;247.38
8;200;1635897600;0;827.52
1;200;1604361600;0;234.48
8;200;1589760000;0;623.04
7;100;1657670400;0;939.68
8;300;1657065600;1;211.06
8;300;1602547200;1;546.65
10;100;1638662400;2;916.14
4;200;1610841600;1;812.04
7;100;1605571200;3;802.64
9;200;1584403200;0;362.13
6;200;1582675200;1;597.25
9;300;1582761600;0;765.63
8;100;1600214400;1;625.45
4;300;1662854400;3;140.38
6;300;1642636800;3;561.82
8;200;1610668800;0;59.47
0;300;1630713600;0;541.17
9;200;1635465600;3;102.0
6;100;1659312000;2;807.79
3;200;1586563200;1;126.26
0;100;1580169600;3;143.12
3;100;1636156800;3;740.61
9;200;1645747200;1;554.16
5;200;1655856000;3;659.9
10;100;1652227200;2;274.94
10;100;1599264000;1;399.62
0;200;1617580800;1;123.27
8;200;1661385600;3;150.94
3;300;1642550400;3;430.85
0;300;1633219200;3;686.01
5;300;1597104000;0;716.3
10;100;1605052800;1;686.19
4;200;1646697600;2;765.34
10;300;1648166400;0;438.17
5;100;1656374400;2;932.83
8;200;1589414400;1;865.4
9;300;1648080000;0;951.75
8;200;1654300800;3;365.43
4;200;1651795200;3;739.85
8;200;1659398400;3;864.28
3;100;1662422400;3;286.19
1;300;1622592000;2;19.33
2;300;1663372800;1;774.37
1;200;1656633600;0;964.08
4;100;1623628800;0;333.44
7;100;1592265600;2;840.58
7;300;1654041600;0;866.92
6;200;1584403200;2;637.84
0;300;1636243200;3;36.13
7;200;1594598400;2;613.09
10;100;1651190400;1;814.4
7;100;1638316800;3;490.82
3;100;1644537600;1;598.79
2;300;1604707200;0;121.7
0;300;1638230400;2;644.46
5;300;1632873600;1;9.19
0;100;1616716800;3;976.52
0;300;1607817600;2;698.85
0;100;1625961600;3;732.48
2;100;1647734400;3;482.57
10;100;1578441600;3;842.97
10;100;1635292800;3;977.21
2;200;1648684800;2;98.57
10;100;1648944000;2;391.94
7;200;1591833600;3;939.26
2;100;1613088000;3;441.5
10;200;1591228800;3;480.91
1;200;1578787200;3;577.04
10;300;1592870400;0;889.7
5;100;1616544000;0;418.28
6;100;1643760000;2;215.95
8;300;1607126400;2;237.3
10;300;1583107200;1;397.73
4;300;1611187200;1;624.44
9;100;1600214400;3;77.49
7;200;1641859200;1;419.86
3;300;1602720000;3;607.76
6;100;1639612800;1;220.74
0;200;1656201600;0;925.02
8;100;1659312000;1;140.29
4;200;1654128000;3;297.53
2;100;1607817600;3;86.68
4;200;1584144000;2;360.3
4;300;1628294400;3;74.46
0;100;1600300800;1;536.72
2;300;1596153600;0;950.04
5;200;1582761600;2;768.71
4;200;1614643200;2;364.96
9;200;1618704000;1;132.37
1;100;1651017600;1;61.11
2;300;1592006400;0;111.41
1;100;1626825600;2;292.86
9;200;1583798400;2;660.14
2;300;1580601600;1;86.11
10;100;1582329600;2;513.91
5;300;1639872000;1;873.05
7;300;1606608000;0;859.23
9;200;1577923200;1;677.9
0;100;1594512000;2;14.79
6;100;1648252800;0;392.88
2;100;1643241600;2;214.5
3;300;1641427200;3;694.23
2;300;1657756800;3;723.14
2;300;1615334400;0;959.45
9;100;1606089600;0;890.56
2;200;1659657600;3;92.77
1;100;1602374400;2;724.95
8;300;1632268800;2;98.26
2;100;1581292800;2;571.91
0;200;1603065600;1;290.22
7;200;1599696000;2;522.9
1;300;1652054400;3;259.57
10;100;1578182400;2;995.47
10;300;1623369600;1;715.96
10;300;1597104000;0;593.51
6;300;1661299200;2;680.58
0;100;1606521600;1;36.24
10;200;1630972800;2;967.35
5;200;1580342400;3;59.45
10;100;1652400000;0;411.9
2;200;1614297600;2;137.26
7;100;1657756800;3;510.74
5;300;1638489600;3;319.38
3;100;1644710400;0;819.83
5;300;1651881600;2;691.99
3;200;1653696000;0;882.93
7;300;1657324800;2;565.37
0;100;1583798400;1;497.93
4;300;1619740800;3;272.28
8;100;1605657600;3;881.04
0;100;1638403200;2;217.07
2;100;1660867200;3;611.2
1;100;1636761600;3;736.32
6;300;1586390400;0;796.18
7;200;1599350400;0;94.06
8;100;1600905600;2;575.43
1;300;1622937600;3;624.18
3;200;1608595200;0;619.24
0;300;1606608000;2;486.65
10;300;1648252800;2;819.63
4;100;1660694400;1;572.45
6;300;1599609600;0;375.08
2;100;1652400000;3;281.57
10;100;1661299200;0;933.81
2;300;1578614400;0;35.32
2;300;1598313600;0;302.69
2;300;1597881600;1;843.76
6;200;1589155200;1;713.68
6;200;1637366400;0;852.71
0;300;1611187200;1;542.78
7;300;1654819200;2;98.5
1;300;1638403200;3;216.78
2;100;1638316800;1;705.27
2;100;1651536000;3;795.83
10;100;1590278400;2;535.2
9;300;1582156800;2;162.0
1;100;1588204800;3;399.14
8;200;1612310400;3;828.49
10;200;1663372800;2;644.75
2;200;1613865600;1;45.17
6;300;1617148800;3;133.11
9;100;1593216000;3;813.15
7;300;1634083200;2;522.44
1;300;1584144000;0;445.54
9;200;1588809600;1;703.28
10;300;1611878400;0;585.85
5;300;1592611200;2;272.76
8;200;1615852800;2;700.18
2;300;1601251200;3;694.69
2;100;1596585600;1;548.04
5;300;1603324800;2;249.19
8;300;1652054400;0;968.18
3;300;1622160000;3;831.43
4;200;1613520000;1;986.01
0;100;1663286400;3;281.51
5;200;1605312000;0;432.67
7;300;1588636800;3;39.72
7;200;1602460800;2;319.23
6;300;1599523200;0;961.4
8;100;1588723200;1;806.6
8;200;1609286400;3;15.76
9;300;1621296000;2;102.1
2;300;1650412800;1;911.87
5;200;1601942400;3;897.82
7;100;1606608000;3;243.68
6;200;1661299200;1;199.76
9;100;1589414400;0;186.18
6;100;1627084800;1;205.16
8;200;1602374400;2;213.29
1;200;1600646400;0;310.53
2;300;1638057600;2;707.28
7;300;1601683200;0;342.99
5;100;1625097600;3;874.47
4;200;1615075200;1;406.39
0;300;1631664000;0;162.87
0;300;1601769600;0;757.38
5;200;1601078400;2;151.54
10;100;1663200000;3;32.22
8;100;1642291200;2;710.76
7;300;1648944000;0;88.13
4;200;1611964800;1;641.08
1;300;1579996800;2;779.67
6;100;1629590400;0;21.52
10;200;1651190400;0;782.14
9;200;1637884800;0;601.56
2;100;1662422400;0;858.2
3;300;1589155200;1;188.92
3;100;1583366400;1;314.97
10;300;1620777600;1;525.2
8;200;1653004800;3;968.71
9;100;1642464000;3;68.0
9;200;1659657600;1;819.1
8;100;1643587200;2;774.09
8;100;1631318400;0;799.33
9;100;1662940800;2;391.44
2;300;1615075200;0;385.53
10;300;1592265600;2;427.43
5;200;1617753600;1;213.86
5;100;1637625600;2;667.42
0;200;1603411200;1;777.63
7;300;1605312000;3;994.35
7;200;1585094400;3;581.83
4;200;1578355200;1;197.97
6;200;1607904000;2;460.62
8;200;1654905600;0;582.67
4;200;1649980800;3;800.53
7;100;1646438400;0;149.07
3;100;1646524800;1;901.4
8;100;1588550400;3;363.18
7;200;1621814400;1;215.36
7;100;1650412800;2;869.79
10;100;1589760000;1;301.12
2;300;1607558400;2;719.64
7;300;1579392000;1;264.89
0;200;1607472000;2;762.63
0;300;1639872000;1;170.29
8;200;1597104000;2;988.88
10;300;1659312000;0;417.65
4;200;1602288000;0;345.21
1;200;1634774400;2;751.39
2;300;1663286400;1;652.62
8;300;1624665600;0;568.33
4;100;1635811200;0;3.54
2;300;1598140800;2;320.74
0;300;1581379200;2;948.52
9;200;1626652800;0;319.23
8;200;1601596800;3;257.56
4;100;1610496000;3;26.32
1;200;1660176000;0;453.64
10;100;1607126400;2;97.35
9;100;1586217600;0;955.12
8;200;1602892800;3;326.98
1;300;1599955200;0;456.6
6;200;1637971200;1;878.5
6;100;1590278400;1;893.99
3;300;1650758400;2;361.46
5;200;1592352000;3;594.66
7;100;1595980800;0;967.93
6;300;1590019200;3;495.17
6;200;1607731200;2;936.28
3;300;1649289600;1;2.37
1;300;1585180800;3;695.81
7;100;1644537600;1;214.69
6;300;1663113600;2;749.72
3;200;1641772800;0;377.15
8;100;1588896000;1;3.64
3;200;1580860800;1;212.02
9;100;1587686400;2;3.91
9;300;1616198400;3;936.66
5;300;1642464000;1;856.83
10;300;1608076800;2;399.08
2;200;1628985600;0;762.92
9;200;1620518400;0;765.19
9;100;1610409600;3;729.84
0;200;1648252800;0;765.42
7;200;1588550400;3;170.61
7;200;1639958400;2;515.94
6;100;1637798400;1;393.83
4;200;1635897600;1;428.8
7;200;1622073600;3;701.8
5;300;1645920000;1;717.33
4;200;1595289600;1;37.09
6;300;1578960000;0;495.5
7;300;1628726400;0;557.23
10;300;1605225600;3;502.12
2;300;1600473600;3;915.22
1;200;1642982400;2;39.64
2;300;1654992000;1;835.99
8;100;1625184000;3;8.71
7;100;1652832000;2;751.25
7;300;1610928000;3;924.26
10;300;1624838400;2;526.48
0;200;1616457600;0;510.47
6;300;1593648000;2;133.4
0;100;1639440000;1;352.85
10;200;1623110400;0;983.51
10;100;1594252800;0;587.9
6;100;1613692800;3;96.68
6;100;1591228800;3;506.32
9;100;1657584000;1;977.46
0;300;1629331200;0;412.45
5;200;1661299200;1;282.35
6;100;1656201600;3;18.74
7;100;1638057600;3;584.15
6;200;1604793600;3;86.37
1;300;1635811200;2;857.58
3;200;1638662400;0;351.6
9;200;1638489600;3;824.22
1;300;1596585600;1;993.1
5;300;1648512000;1;395.55
9;100;1587254400;3;878.68
1;200;1604793600;2;96.57
10;300;1628726400;1;550.04
3;100;1592956800;1;502.41
0;100;1653523200;2;626.19
3;100;1647388800;3;0.71
3;100;1650067200;2;3.95
10;300;1615593600;3;534.59
5;300;1660780800;3;645.84
9;300;1585440000;1;458.88
0;300;1649030400;3;622.55
9;300;1639785600;1;606.56
5;300;1621468800;0;56.95
0;300;1633219200;3;489.41
4;100;1590278400;1;360.41
3;300;1626998400;3;773.23
9;200;1634428800;1;480.18
10;200;1600732800;2;18.96
8;200;1627862400;0;158.58
2;100;1589155200;2;378.62
7;100;1644278400;1;639.29
1;100;1627603200;2;934.39
3;300;1621900800;2;530.1
2;300;1660867200;3;681.5
6;300;1580688000;1;411.57
5;100;1615680000;0;937.41
10;200;1612137600;0;915.99
2;300;1586563200;2;517.47
5;200;1613779200;0;522.74
4;100;1589328000;1;59.24
3;200;1595116800;0;926.86
1;300;1611100800;3;815.56
5;200;1611446400;3;315.55
0;300;1636675200;1;592.96
3;200;1607212800;0;855.38
4;300;1623456000;1;436.39
0;300;1595289600;2;196.35
9;300;1603584000;0;537.03
5;100;1615939200;0;468.98
7;300;1630454400;2;225.7
5;100;1612137600;3;412.07
7;300;1625184000;1;379.64
6;300;1660089600;1;676.05
1;300;1612137600;2;186.29
6;300;1647820800;3;832.44
0;100;1619395200;0;221.0
0;200;1623456000;0;841.32
10;200;1633996800;3;457.6
9;200;1652745600;3;736.84
9;200;1585872000;0;852.88
6;100;1605657600;2;384.26
2;300;1645660800;1;996.9
3;200;1613779200;2;208.1
3;100;1638489600;0;781.6
8;300;1581206400;3;585.69
1;300;1612396800;2;883.29
2;100;1592870400;2;530.83
8;100;1583539200;2;149.02
7;100;1659052800;1;491.27
5;100;1620777600;1;884.14
5;100;1630195200;1;40.86
7;300;1662076800;1;56.9
7;100;1590451200;1;606.6
6;200;1579996800;2;877.32
2;100;1591228800;1;288.43
2;200;1642291200;2;224.53
8;100;1581984000;3;579.31
7;100;1580601600;3;728.96
0;100;1590192000;1;910.46
4;300;1594771200;1;741.52
5;300;1597449600;1;624.65
7;200;1593216000;0;7.69
7;200;1634342400;0;327.18
8;200;1661817600;3;817.18
10;300;1585008000;1;517.73
2;200;1589241600;2;179.98
10;100;1594339200;1;131.08
5;200;1601596800;1;339.69
0;300;1643587200;1;968.37
6;100;1619913600;0;222.59
1;100;1626998400;0;100.9
1;200;1631145600;2;861.1
1;200;1639267200;2;424.44
9;200;1640044800;0;324.48
8;300;1588723200;0;938.17
0;100;1593907200;1;241.5
5;100;1644192000;1;674.03
7;300;1631232000;1;5.22
8;300;1594771200;1;545.87
5;300;1611532800;3;984.76
1;200;1621641600;3;60.9
6;300;1585958400;1;963.33
8;300;1606608000;1;2.52
9;200;1626307200;1;301.12
10;200;1587945600;0;149.72
1;300;1658880000;3;155.54
10;200;1662163200;0;705.08
4;100;1590796800;2;982.49
2;300;1609113600;1;180.19
7;100;1588550400;1;327.54
2;300;1618531200;1;651.28
2;100;1633996800;1;216.52
8;300;1580947200;3;922.48
9;100;1602806400;2;541.39
1;200;1597622400;2;867.85
8;100;1588550400;2;374.26
0;200;1645833600;1;989.89
9;200;1625961600;2;976.4
4;300;1624838400;2;128.56
8;100;1579305600;0;531.21
10;200;1631232000;3;883.47
1;300;1607990400;0;692.0
9;200;1582416000;0;648.09
8;100;1662940800;0;202.78
3;300;1648598400;2;337.88
10;200;1642723200;2;733.49
7;300;1633046400;1;63.32
5;200;1653177600;2;883.32
8;200;1644537600;3;70.36
2;200;1659052800;2;566.97
10;300;1659398400;0;180.88
7;200;1649548800;0;570.79
7;200;1650844800;1;871.32
10;200;1611532800;3;270.99
1;100;1608681600;0;150.66
8;200;1629244800;3;206.06
9;100;1654214400;1;139.33
2;300;1601251200;0;314.75
10;200;1649721600;1;451.67
10;200;1616803200;1;199.26
5;100;1635465600;3;273.32
0;200;1632009600;2;55.32
7;200;1662422400;0;175.31
5;100;1655683200;2;846.03
0;200;1585872000;1;123.28
5;200;1600560000;3;8.95
5;300;1625356800;0;322.31
8;100;1604448000;1;163.07
2;300;1607040000;0;313.13
6;300;1599609600;0;896.53
10;100;1663632000;1;739.82
10;300;1606867200;2;243.81
0;100;1628640000;1;645.17
6;300;1583280000;2;568.0
10;200;1614211200;3;682.32
4;300;1639612800;2;720.84
9;300;1650931200;1;697.25
1;200;1642464000;3;974.94
2;200;1585094400;2;988.66
0;100;1616630400;3;554.64
4;300;1583712000;1;187.22
7;300;1657152000;2;744.99
2;300;1627603200;3;244.78
2;200;1658102400;3;227.84
7;100;1611792000;2;26.57
7;100;1620000000;0;937.7
2;100;1656892800;1;662.14
8;100;1641945600;2;269.43
10;300;1624060800;1;559.9
4;300;1617321600;0;432.35
6;100;1652313600;1;901.64
5;200;1658188800;3;948.89
2;100;1583193600;0;700.7
8;300;1645488000;0;131.24
1;100;1619308800;1;246.45
8;200;1663718400;2;690.72
4;300;1662422400;3;996.9
4;200;1593561600;0;855.05
3;300;1604966400;1;322.71
4;300;1653609600;1;749.5
8;200;1588118400;0;925.16
3;300;1589760000;3;317.04
5;200;1610409600;2;926.27
2;300;1639699200;0;360.11
7;200;1599955200;0;589.85
3;300;1663113600;1;341.42
9;200;1601510400;1;606.36
2;300;1602201600;3;575.68
0;200;1654214400;2;578.59
9;200;1650758400;0;38.13
6;300;1582243200;3;641.91
6;200;1600041600;2;679.71
3;300;1592784000;2;51.29
3;100;1613952000;1;789.34
9;100;1659916800;1;157.71
8;200;1620086400;2;917.05
5;300;1662422400;0;37.16
0;200;1583971200;3;594.19
8;100;1629504000;0;423.52
1;300;1661558400;1;621.88
1;200;1602460800;0;762.1
3;100;1581552000;3;144.7
3;200;1653177600;2;889.45
2;100;1633564800;0;864.51
6;200;1618012800;2;477.14
9;200;1661817600;2;897.39
7;300;1599177600;2;440.36
8;100;1578787200;2;640.14
7;200;1662854400;2;632.41
8;300;1640908800;0;885.0
5;300;1641772800;3;518.5
0;100;1589068800;0;839.36
7;300;1577923200;3;818.46
0;300;1612396800;3;232.4
2;200;1619308800;0;802.62
4;200;1634774400;3;759.89
2;300;1593043200;2;10.1
2;300;1583020800;0;157.99
6;300;1646784000;3;398.19
3;200;1605139200;0;775.36
2;300;1579132800;2;305.64
9;200;1589587200;3;13.93
10;100;1597708800;1;546.87
2;300;1622592000;0;623.13
4;200;1614470400;3;759.96
3;200;1660608000;1;835.29
6;300;1622505600;1;530.21
0;200;1625529600;3;677.4
3;300;1632009600;1;400.64
8;200;1660521600;1;972.88
6;100;1606262400;1;588.92
5;100;1607299200;2;615.75
7;100;1664150400;2;420.83
10;200;1628640000;2;706.72
8;200;1614384000;0;705.29
9;200;1648080000;1;511.95
9;200;1591056000;1;9.58
4;100;1662508800;3;856.33
0;300;1625443200;2;690.69
0;300;1612656000;1;350.89
6;100;1644537600;0;328.42
3;100;1629158400;1;53.07
8;300;1608249600;3;204.63
7;100;1663200000;3;740.06
7;200;1597708800;1;50.48
1;200;1653782400;1;825.73
10;200;1617321600;2;369.23
3;200;1644278400;2;333.71
4;200;1654387200;0;368.1
3;300;1584921600;3;55.61
8;100;1647734400;2;39.13
3;300;1624147200;3;749.26
4;100;1623024000;0;862.06
1;100;1662163200;1;84.43
9;100;1658620800;0;529.14
0;100;1580947200;1;376.05
9;300;1589846400;1;641.35
1;100;1614384000;3;11.61
